GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-04 EMP UPDATED windows reselected - Do not edit pre 29.09.17 612 standard\run4.b
Created: Fri Sep 29 18:34:39 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Ni62,472.66,479.46,37.25,40.75,18.50,3285.26,3413.35,2020.42,1816.07,1932.37,2791.04,1988.28,1938.30,1670.53,2340.04,1452.92,2049.48,463.33,471.55,37.85,39.66,67.31,3282.92,3473.62,16.83
Cu63,447.19,464.79,37.01,38.78,42.97,0.899,4.27,4.34,3.08,4.92,4.60,3.51,3.32,4.28,2.42,1.101,4.62,446.42,451.40,36.95,38.62,2814.15,0.859,4.46,17.71
Zn66,476.88,486.89,38.87,39.40,216.57,58.55,70.44,71.27,79.13,75.93,72.23,74.47,76.64,75.48,85.03,69.25,73.84,468.42,475.16,38.41,39.78,7953.66,57.61,69.60,166.21
Zn67,450.59,460.58,38.54,39.69,237.16,53.91,64.02,65.84,73.00,69.77,65.88,68.03,70.57,70.03,80.03,64.09,71.07,474.05,480.85,39.78,38.43,6991.63,56.65,67.53,201.07
Ga69,439.96,454.20,36.24,37.72,67.69,0.0286,0.0953,0.1603,0.1382,0.1455,0.1516,0.1634,0.1300,0.1577,0.1566,0.0714,0.1905,444.23,444.09,36.14,37.64,30.22,0.0399,0.0792,63.82
Sr88,508.43,512.61,78.05,78.75,330.58,<0.0124,0.0064,0.0129,0.0313,0.0302,0.0161,0.0204,0.0198,0.1433,0.0307,<0.0757,0.0152,520.15,516.53,79.18,77.64,270.50,<0.0165,0.0031,332.66
Y89,464.31,460.87,38.33,38.23,31.06,0.0359,0.0521,0.0467,0.0401,0.0452,0.0473,0.0453,0.0457,0.0505,0.0527,0.0401,0.0476,473.01,456.88,38.93,37.71,12.27,0.0355,0.0630,31.48
Zr90,439.99,435.03,38.14,37.61,164.74,0.096,0.0312,0.0574,0.483,0.419,0.0690,0.605,0.0616,0.0992,4.38,<0.391,0.0447,448.47,432.59,38.37,37.47,249.86,0.089,0.0470,169.50
Nb93,459.80,464.98,38.66,39.18,12.45,<0.0142,0.0038,<0.00569,<0.00502,<0.00487,<0.00470,<0.00342,0.00238,0.0125,<0.00491,<0.0349,<0.00330,471.02,463.25,38.82,38.96,8.34,<0.0190,<0.0103,13.02
Ba135,443.61,448.91,39.65,38.92,665.30,<0.203,<0.085,0.0087,0.0242,0.384,<0.0582,0.089,0.0063,0.245,0.072,<0.413,<0.0706,455.20,446.68,39.39,39.24,438.19,<0.135,0.0135,676.71
Ba137,443.93,448.72,39.56,39.00,659.89,0.0187,<0.0692,<0.0234,0.0114,0.226,0.0075,0.0279,<0.0340,0.230,0.078,<0.341,<0.0328,444.16,440.50,39.50,39.12,334.79,0.0080,<0.072,656.30
La139,436.60,437.13,35.99,35.99,23.80,<0.0088,<0.0105,0.0127,0.755,2.53,0.0120,0.223,0.0812,0.452,2.81,<0.67,0.0229,441.61,432.97,36.38,35.64,33.32,<0.0117,<0.0110,24.31
Ce140,450.96,456.54,37.94,38.95,49.90,<0.00664,<0.0096,0.1413,0.428,134.99,0.0479,0.313,1.293,2.342,0.865,<1.87,2.115,456.63,451.87,38.12,38.65,47.95,0.00152,<0.00582,49.68
Gd157,441.54,444.26,37.34,37.23,6.22,<0.0616,<0.0631,<0.0349,<0.0189,0.0551,<0.0176,<0.0363,0.0541,0.0079,<0.0260,<0.176,0.0673,449.72,437.65,37.74,36.88,11.21,<0.0577,<0.0384,6.20
