GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 3.b
Created: Fri Sep 29 18:41:13 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2,15-01,15-02,15-03,15-04,15-05,15-06,15-07,15-08,15-09,15-10,STD610-7,STD610-8,612-7,612-8,BCR-2G-3,SCO-1-3,SCO-2-3
Co59,427.61,423.75,35.57,35.43,38.41,151.42,154.55,219.04,218.59,227.64,214.18,216.78,214.77,222.19,230.83,225.88,240.45,422.67,419.77,35.44,35.56,40.15,147.57,152.14
Ni60,455.30,447.84,39.65,37.93,12.08,3088.59,3215.38,315.07,327.12,333.34,430.09,465.23,331.85,330.05,346.60,338.15,354.02,483.08,474.26,38.93,38.73,13.38,3232.51,3302.50
Ni62,435.53,436.94,39.45,38.09,14.65,3079.95,3126.93,313.34,327.56,334.34,432.11,463.78,339.77,339.52,360.50,346.86,353.91,508.06,500.14,39.66,38.04,19.23,3376.21,3472.48
Cu63,430.04,433.39,40.54,35.33,17.61,0.820,4.14,0.902,1.075,0.915,0.931,5.73,0.830,0.875,0.840,0.99,0.938,466.99,465.69,37.60,38.14,19.41,0.81,4.34
Zn66,434.19,436.66,40.10,38.03,163.36,54.75,63.57,249.22,248.84,253.79,244.30,256.11,253.06,249.92,259.71,261.84,275.97,472.47,473.17,40.03,38.30,181.56,59.25,67.72
Zn67,442.55,436.73,39.85,38.39,198.50,51.02,60.23,227.06,231.06,235.37,225.16,235.91,236.77,235.89,235.97,241.47,259.56,466.00,474.94,38.31,39.93,216.71,56.29,62.35
Ga69,454.54,445.31,37.09,36.69,69.87,<0.0610,0.119,0.216,0.186,0.214,0.217,0.285,0.189,0.230,0.206,0.225,0.231,457.32,445.61,37.17,36.66,69.99,<0.0500,0.072
Sr88,504.97,504.89,79.16,77.56,325.78,<0.0178,<0.0124,0.0278,0.0276,0.0586,0.0297,0.557,0.0218,0.0227,0.0275,0.0221,0.0139,518.22,516.12,79.19,77.70,334.12,<0.0484,<0.0139
Y89,454.91,453.17,38.70,37.87,28.13,0.0313,0.0402,0.360,0.359,0.342,0.319,0.302,0.381,0.326,0.313,0.385,0.393,457.73,460.06,38.59,38.05,29.30,0.0283,0.0352
Zr90,409.69,412.62,39.12,36.67,147.24,0.0462,<0.0472,0.172,0.160,0.184,0.317,0.322,0.104,0.101,0.125,0.168,0.178,429.80,438.51,38.31,37.58,163.14,<0.053,<0.084
Nb93,461.89,460.48,38.95,38.84,12.78,<0.0234,<0.0230,<0.0149,<0.0135,0.0266,<0.0121,0.0818,<0.0141,<0.0054,<0.0094,<0.0123,<0.0129,463.88,466.23,39.05,38.76,13.06,<0.0215,<0.0256
Ba135,437.35,445.37,40.33,38.24,667.97,<0.417,0.031,<0.133,<0.169,0.126,0.085,1.355,<0.176,<0.068,<0.096,<0.154,<0.125,441.43,448.21,39.56,39.11,677.03,<0.268,0.0083
